,Unnamed: 0,SIC_early_happen
0,4227,1
1,2164,0
2,11547,0
3,53,0
4,4044,0
5,6208,1
6,6715,0
7,2318,0
8,9776,1
9,11051,0
10,458,0
11,8741,1
12,730,1
13,6493,0
14,10288,1
15,9443,0
16,6913,0
17,4405,0
18,9324,1
19,3222,1
20,865,0
21,5564,0
22,11302,0
23,3786,0
24,9591,1
25,9471,1
26,607,1
27,3340,0
28,11022,1
29,4549,1
30,11318,1
31,8615,0
32,5441,0
33,8210,1
34,7590,0
35,7062,0
36,10833,0
37,7647,0
38,2717,1
39,6231,1
40,10426,1
41,7732,1
42,9977,0
43,2383,1
44,7178,1
45,1814,0
46,9081,1
47,5645,1
48,4853,0
49,983,0
50,177,0
51,3727,0
52,3312,1
53,8916,0
54,1507,1
55,8351,1
56,3897,1
57,8388,0
58,7427,0
59,2822,0
60,9604,0
61,946,1
62,380,0
63,10968,1
64,696,0
65,8609,1
66,9106,1
67,2612,1
68,7314,1
69,10659,0
70,6669,0
71,5901,1
72,4676,0
73,5610,1
74,7613,1
75,10070,1
76,5628,0
77,8642,0
78,1487,1
79,9140,1
80,9983,0
81,2446,0
82,7618,1
83,256,0
84,4674,0
85,2954,1
86,4476,1
87,7188,1
88,486,1
89,5451,1
90,2132,0
91,8019,1
92,1437,1
93,1918,0
94,1886,1
95,4296,1
96,1932,1
97,3447,1
98,3645,1
99,10892,1
100,4880,1
101,2771,1
102,8963,0
103,1438,1
104,9437,1
105,7220,0
106,3822,0
107,1339,0
108,3785,0
109,11550,1
110,1179,0
111,4030,0
112,2842,0
113,3703,0
114,2582,1
115,5218,1
116,6691,0
117,10704,1
118,1970,1
119,4457,1
120,6162,1
121,5590,1
122,10658,1
123,11496,0
124,13,1
125,3653,1
126,5947,1
127,2094,1
128,9906,0
129,1744,1
130,3072,1
131,463,1
132,853,1
133,423,0
134,8250,0
135,10185,0
136,4535,0
137,10982,1
138,10322,0
139,10828,1
140,3037,0
141,4524,1
142,3196,0
143,4349,1
144,4842,0
145,1218,0
146,3081,0
147,2415,1
148,8105,1
149,3118,1
150,4109,1
151,1906,1
152,1697,1
153,121,1
154,7762,1
155,2015,0
156,9617,0
157,9565,0
158,7170,0
159,11368,1
160,9782,1
161,6731,0
162,45,1
163,11358,1
164,393,1
165,6261,1
166,6594,0
167,10524,0
168,8058,1
169,4005,0
170,11344,0
171,6616,1
172,5120,1
173,2877,0
174,741,1
175,3954,0
176,1843,0
177,2926,1
178,8536,1
179,2987,0
180,9566,1
181,1916,0
182,1152,1
183,1282,1
184,365,0
185,5190,1
186,5087,0
187,9661,1
188,1184,0
189,9268,0
190,4557,0
191,2733,0
192,8529,0
193,2930,1
194,7519,0
195,7869,0
196,1175,1
197,9048,1
198,8247,1
199,10165,0
200,3586,1
201,7164,1
202,4906,1
203,11483,1
204,518,0
205,5760,1
206,6847,1
207,9213,0
208,10394,0
209,3346,0
210,3109,0
211,1398,1
212,4997,1
213,11371,0
214,1478,0
215,9242,1
216,7596,0
217,2848,1
218,5666,0
219,3761,1
220,5306,1
221,5434,0
222,1190,1
223,10819,0
224,11462,1
225,11054,0
226,1051,1
227,2349,0
228,5771,0
229,10520,1
230,3161,0
231,3062,0
232,11332,1
233,2869,0
234,4372,0
235,5884,1
236,7366,1
237,5179,1
238,11517,0
239,5398,1
240,1623,1
241,5172,0
242,340,1
243,10814,1
244,6285,0
245,7319,1
246,2345,1
247,8081,0
248,1460,0
249,6784,0
250,9526,1
251,5911,0
252,212,1
253,5580,0
254,1680,1
255,4582,0
256,143,0
257,4980,0
258,3308,0
259,4087,1
260,10436,0
261,1056,1
262,7791,0
263,6173,1
264,10867,1
265,7167,0
266,1521,1
267,1503,0
268,10313,1
269,7420,0
270,1066,1
271,1480,1
272,8814,1
273,1941,1
274,4596,1
275,4484,1
276,11139,1
277,2846,0
278,7067,0
279,11428,0
280,10817,1
281,208,1
282,4413,0
283,2407,0
284,3344,1
285,3938,0
286,10988,1
287,8415,1
288,7873,1
289,6764,0
290,1770,0
291,10862,1
292,1006,0
293,6107,0
294,10757,1
295,10397,1
296,1366,0
297,6625,1
298,78,0
299,5156,0
300,6983,0
301,3360,0
302,6535,0
303,8623,1
304,9131,1
305,1312,1
306,2754,1
307,6495,1
308,2019,1
309,2904,0
310,3336,0
311,3666,0
312,9079,1
313,4728,1
314,6626,1
315,2448,1
316,40,1
317,10251,0
318,10138,1
319,5881,0
320,1434,0
321,6900,0
322,6109,1
323,11124,1
324,1484,1
325,2313,1
326,1037,0
327,9370,0
328,9596,1
329,9671,0
330,7923,1
331,10694,0
332,6222,0
333,9711,1
334,3104,0
335,1311,1
336,11343,0
337,8498,0
338,9883,1
339,2959,1
340,4073,0
341,4439,0
342,2915,0
343,11219,0
344,11177,1
345,9869,1
346,4071,1
347,2110,0
348,4624,0
349,3245,1
350,10272,0
351,7984,1
352,4139,0
353,9893,1
354,1884,1
355,8866,0
356,7888,0
357,10006,0
358,8009,0
359,11401,0
360,2701,1
361,8750,1
362,714,0
363,10417,1
364,4623,0
365,7876,1
366,5083,1
367,493,1
368,5215,1
369,1259,0
370,6747,0
371,5490,0
372,10890,1
373,9216,1
374,3729,1
375,6004,1
376,8704,1
377,1650,0
378,1499,1
379,5709,1
380,1345,1
381,8077,1
382,1088,1
383,1407,0
384,1286,0
385,5939,1
386,7282,1
387,6010,0
388,2211,1
389,4895,1
390,11396,1
391,5807,0
392,6613,0
393,1464,0
394,8721,0
395,2388,0
396,5243,0
397,2436,0
398,8720,0
399,3555,1
400,5910,1
